Min,Ast,PK,Gls
2123.0,2.0,2.0,5.0
90.0,0.0,0.0,0.0
141.0,0.0,0.0,0.0
1833.0,5.0,0.0,1.0
212.0,0.0,0.0,1.0
811.0,0.0,0.0,0.0
1145.0,1.0,0.0,4.0
2396.0,1.0,0.0,0.0
904.0,0.0,0.0,0.0
3062.0,1.0,0.0,5.0
3196.0,2.0,0.0,2.0
483.0,0.0,0.0,1.0
2494.0,0.0,0.0,0.0
2597.0,5.0,0.0,2.0
2804.0,5.0,0.0,5.0
1645.0,2.0,0.0,1.0
2105.0,3.0,0.0,1.0
1920.0,1.0,0.0,1.0
2785.0,4.0,0.0,7.0
1912.0,1.0,0.0,0.0
560.0,0.0,0.0,1.0
1434.0,0.0,0.0,2.0
2272.0,2.0,0.0,2.0
689.0,0.0,0.0,0.0
32.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0
1851.0,1.0,0.0,4.0
1746.0,2.0,0.0,0.0
877.0,2.0,0.0,0.0
14.0,0.0,0.0,0.0
2776.0,0.0,0.0,3.0
604.0,0.0,0.0,0.0
356.0,0.0,0.0,0.0
2715.0,3.0,0.0,2.0
2972.0,0.0,0.0,0.0
998.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
1055.0,0.0,0.0,1.0
921.0,0.0,0.0,1.0
3377.0,3.0,0.0,4.0
3006.0,7.0,0.0,23.0
1711.0,2.0,0.0,0.0
1348.0,1.0,0.0,1.0
1034.0,1.0,0.0,5.0
990.0,0.0,0.0,0.0
2629.0,0.0,0.0,4.0
3222.0,1.0,0.0,2.0
2610.0,0.0,0.0,0.0
7.0,0.0,0.0,0.0
2650.0,0.0,0.0,3.0
2909.0,5.0,5.0,12.0
124.0,0.0,0.0,0.0
1382.0,2.0,0.0,2.0
1828.0,2.0,0.0,1.0
1921.0,2.0,0.0,10.0
10.0,0.0,0.0,0.0
1271.0,1.0,0.0,5.0
2298.0,0.0,0.0,4.0
133.0,0.0,0.0,3.0
1134.0,0.0,0.0,0.0
542.0,1.0,0.0,3.0
1250.0,2.0,0.0,0.0
720.0,0.0,0.0,0.0
2792.0,2.0,0.0,3.0
2970.0,1.0,0.0,2.0
13.0,0.0,0.0,0.0
382.0,0.0,0.0,1.0
2819.0,2.0,0.0,16.0
3179.0,4.0,0.0,1.0
166.0,0.0,0.0,1.0
1831.0,1.0,0.0,1.0
559.0,2.0,0.0,2.0
388.0,0.0,0.0,1.0
61.0,0.0,0.0,0.0
346.0,0.0,0.0,0.0
316.0,0.0,0.0,1.0
2459.0,8.0,0.0,12.0
572.0,0.0,0.0,0.0
238.0,0.0,0.0,0.0
735.0,0.0,0.0,0.0
135.0,0.0,0.0,0.0
3330.0,0.0,0.0,0.0
235.0,0.0,0.0,0.0
567.0,0.0,0.0,0.0
2538.0,1.0,0.0,1.0
1018.0,1.0,0.0,0.0
5.0,0.0,0.0,0.0
761.0,2.0,0.0,1.0
7.0,0.0,0.0,0.0
922.0,0.0,0.0,0.0
2523.0,5.0,3.0,10.0
2201.0,8.0,0.0,15.0
1453.0,0.0,0.0,6.0
660.0,1.0,0.0,1.0
27.0,0.0,0.0,0.0
2881.0,2.0,0.0,0.0
3063.0,0.0,0.0,5.0
2168.0,6.0,0.0,8.0
2558.0,1.0,0.0,4.0
220.0,0.0,0.0,0.0
2633.0,2.0,0.0,1.0
180.0,0.0,0.0,0.0
619.0,1.0,0.0,0.0
2467.0,1.0,0.0,6.0
1023.0,2.0,0.0,0.0
991.0,3.0,0.0,1.0
1530.0,0.0,0.0,0.0
1047.0,2.0,0.0,0.0
3071.0,0.0,0.0,0.0
1634.0,1.0,0.0,0.0
2573.0,0.0,0.0,1.0
1801.0,0.0,0.0,0.0
2631.0,4.0,1.0,6.0
90.0,0.0,0.0,0.0
1214.0,2.0,0.0,2.0
1102.0,1.0,0.0,0.0
128.0,0.0,0.0,0.0
1176.0,1.0,0.0,1.0
1755.0,2.0,0.0,0.0
3089.0,1.0,0.0,1.0
3253.0,3.0,3.0,11.0
90.0,0.0,0.0,0.0
2760.0,1.0,5.0,14.0
4.0,0.0,0.0,0.0
308.0,0.0,0.0,0.0
180.0,0.0,0.0,0.0
2857.0,4.0,0.0,8.0
799.0,0.0,0.0,0.0
1449.0,0.0,0.0,0.0
2209.0,4.0,0.0,0.0
130.0,0.0,0.0,0.0
2537.0,4.0,0.0,2.0
1623.0,0.0,0.0,1.0
650.0,1.0,0.0,1.0
3321.0,1.0,0.0,3.0
1673.0,0.0,0.0,0.0
2101.0,10.0,0.0,6.0
268.0,0.0,0.0,0.0
1877.0,8.0,1.0,8.0
484.0,1.0,0.0,1.0
58.0,1.0,0.0,0.0
3240.0,1.0,0.0,0.0
2338.0,4.0,0.0,5.0
72.0,0.0,0.0,1.0
223.0,1.0,0.0,0.0
168.0,0.0,0.0,0.0
1349.0,9.0,0.0,1.0
2402.0,4.0,0.0,2.0
808.0,0.0,1.0,1.0
1561.0,2.0,0.0,0.0
1327.0,0.0,1.0,2.0
3329.0,0.0,0.0,0.0
657.0,0.0,1.0,1.0
3111.0,6.0,0.0,10.0
28.0,0.0,0.0,0.0
2581.0,6.0,0.0,10.0
1772.0,2.0,0.0,1.0
360.0,0.0,0.0,0.0
1080.0,0.0,0.0,0.0
404.0,0.0,0.0,0.0
445.0,3.0,0.0,2.0
379.0,0.0,0.0,0.0
1436.0,0.0,0.0,1.0
